code,note1,note2,note3,note4,note5
"SGH143X502	",111111384,,,,
"SGH143X51H	",111111385,,,,
"SGH143X536	",111111386,,,,
"SGH143X54K	",111111387,,,,
"SGH147XETJ	",111111388,,,,
"SGH147XKE8	",111111389,,,,
"SGH147XKFS	",111111390,,,,
"5294233	",111111391,,,,
"SGH147XKJ9	",111111392,,,,
"CN71380VRF	",111111393,,,,
"SGH147XL4V	",111111394,,,,
"CN71400J0K	",111111395,,,,
"SGH151YYHP	",111111396,,,,
"SGH15203HD	",111111397,,,,
"SGH15203P8	",111111398,,,,
"CN71460QFD	",111111399,,,,
"SSGH051X19V	",111111400,,,,
"CN715011GB	",111111401,,,,
"SGH138X58L	",111111402,,,,
"SGH141XE9X	",111111403,,,,
"SGH142XPJY	",111111404,,,,
"SGH143X4WN	",111111405,,,,
"SGH143X504	",111111406,,,,
"SGH143X51J	",111111407,,,,
"SGH143X538	",111111408,,,,
"SGH143X54M	",111111409,,,,
"SGH147XA1R	",111111410,,,,
"SGH147XETV	",111111411,,,,
"SGH147XKEC	",111111412,,,,
"SGH147XKFT	",111111413,,,,
"5294241	",111111414,,,,
"SGH147XKJN	",111111415,,,,
"CN71380W18	",111111416,,,,
"SGH147XL50	",111111417,,,,
"CN71400J0Q	",111111418,,,,
"CN71410QFN	",111111419,,,,
"SGH15203HK	",111111420,,,,
"CN71420JNW	",111111421,,,,
"SGH15203PF	",111111422,,,,
"CN71460QFS	",111111423,,,,
"CN71470PX5	",111111424,,,,
"CN715011GL	",111111425,,,,
"SGH141XE9Y	",111111426,,,,
"SGH142XTX0	",111111427,,,,
"SGH143X50B	",111111428,,,,
"SGH143X51L	",111111429,,,,
"SGH143X53B	",111111430,,,,
"SGH147XEBJ	",111111431,,,,
"SGH147XEV3	",111111432,,,,
"SGH147XKEE	",111111433,,,,
"1288379	",111111434,,,,
"SGH147XKFW	",111111435,,,,
"SGH147XL53	",111111436,,,,
"CN71400SC3	",111111437,,,,
"SGH151YYHY	",111111438,,,,
"CN71410QG2	",111111439,,,,
"SGH15203HW	",111111440,,,,
"CN71420JNZ	",111111441,,,,
"SGH15203PN	",111111442,,,,
"CN714706X9	",111111443,,,,
"CN71470PXD	",111111444,,,,
"CN715011GS	",111111445,,,,
"SGH138X5BB	",111111446,,,,
"SGH141XB61	",111111447,,,,
"SGH141XEA4	",111111448,,,,
"SGH143X50D	",111111449,,,,
"SGH143X51Y	",111111450,,,,
"SGH143X53F	",111111451,,,,
"SGH146X5C8	",111111452,,,,
"SGH147XEBK	",111111453,,,,
"SGH147XEV5	",111111454,,,,
"SGH147XKEH	",111111455,,,,
"2168070	",111111456,,,,
"SGH147XKH4	",111111457,,,,
"SGH147XKJW	",111111458,,,,
"CN71380W3D	",111111459,,,,
"SGH15203FA	",111111460,,,,
"SGH15203J0	",111111461,,,,
"SGH15203PP	",111111462,,,,
"CN714706XD	",111111463,,,,
"CN71470PXH	",111111464,,,,
"CN715011GZ	",111111465,,,,
"SGH137XES8	",111111466,,,,
"SGH138X5FV	",111111467,,,,
"SGH139X9LH	",111111468,,,,
"SGH141XB9N	",111111469,,,,
"SGH141XEAC	",111111470,,,,
"SGH143X4XP	",111111471,,,,
"SGH143X50J	",111111472,,,,
"SGH143X521	",111111473,,,,
"SGH143X53M	",111111474,,,,
"SGH146X5CD	",111111475,,,,
"SGH147XEDF	",111111476,,,,
"SGH147XEVD	",111111477,,,,
"SGH147XKEV	",111111478,,,,
"4672088	",111111479,,,,
"SGH147XKHB	",111111480,,,,
"CN71130VD5	",111111481,,,,
"SGH147XKJX	",111111482,,,,
"CN71380W5W	",111111483,,,,
"SGH151YM4N	",111111484,,,,
"SGH15203FC	",111111485,,,,
"SGH15203J6	",111111486,,,,
